"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Paraguay","2021-01-07 05:22:03",-23.4425,-58.4438,111694,2337,87747,21610,"Paraguay",1565.98009401993,2.09232367002704
NA,"","Amazonas","Peru","2021-01-07 05:22:03",-5.077253,-78.050172,18570,254,0,18316,"Amazonas, Peru",4350.98406747891,1.36779752288638
NA,"","Ancash","Peru","2021-01-07 05:22:03",-9.407125,-77.671795,31323,1527,0,29796,"Ancash, Peru",2653.14246993054,4.87501197203333
NA,"","Apurimac","Peru","2021-01-07 05:22:03",-14.027713,-72.975378,7711,162,0,7549,"Apurimac, Peru",1790.34130485257,2.10089482557386
NA,"","Arequipa","Peru","2021-01-07 05:22:03",-15.843524,-72.475539,48578,1641,0,46937,"Arequipa, Peru",3244.1565379992,3.37807237844292
NA,"","Ayacucho","Peru","2021-01-07 05:22:03",-14.091648,-74.08344,15383,380,0,15003,"Ayacucho, Peru",2302.15504340018,2.47025937723461
NA,"","Cajamarca","Peru","2021-01-07 05:22:03",-6.430284,-78.745596,25474,615,0,24859,"Cajamarca, Peru",1752.35605695811,2.41422626992227
NA,"","Callao","Peru","2021-01-07 05:22:03",-11.954609,-77.136042,43749,1987,0,41762,"Callao, Peru",3871.93556951943,4.5418180986994
NA,"","Cusco","Peru","2021-01-07 05:22:03",-13.191068,-72.153609,25541,538,0,25003,"Cusco, Peru",1882.02785351116,2.10641713323676
NA,"","Huancavelica","Peru","2021-01-07 05:22:03",-13.023888,-75.00277,7928,152,0,7776,"Huancavelica, Peru",2170.27101012866,1.91725529767911
NA,"","Huanuco","Peru","2021-01-07 05:22:03",-9.421676,-76.040642,20700,499,0,20201,"Huanuco, Peru",2722.60949625148,2.41062801932367
NA,"","Ica","Peru","2021-01-07 05:22:03",-14.235097,-75.574821,32242,1804,0,30438,"Ica, Peru",3306.19360131255,5.59518640282861
NA,"","Junin","Peru","2021-01-07 05:22:03",-11.541783,-74.876968,28517,977,0,27540,"Junin, Peru",2094.52809401396,3.42602658063611
NA,"","La Libertad","Peru","2021-01-07 05:22:03",-7.92139,-78.370238,37714,2487,0,35227,"La Libertad, Peru",1869.99206664022,6.59436813915257
NA,"","Lambayeque","Peru","2021-01-07 05:22:03",-6.353049,-79.824113,33500,1945,0,31555,"Lambayeque, Peru",2555.69118095819,5.80597014925373
NA,"","Lima","Peru","2021-01-07 05:22:03",-11.766533,-76.604498,453069,16873,0,436196,"Lima, Peru",4262.7746154208,3.7241568061377
NA,"","Loreto","Peru","2021-01-07 05:22:03",-4.124847,-74.424115,26412,1009,0,25403,"Loreto, Peru",2570.26080186843,3.82023322732091
NA,"","Madre de Dios","Peru","2021-01-07 05:22:03",-11.972699,-70.53172,9607,157,0,9450,"Madre de Dios, Peru",5527.61795166858,1.63422504423858
NA,"","Moquegua","Peru","2021-01-07 05:22:03",-16.860271,-70.839046,16177,316,0,15861,"Moquegua, Peru",8394.91437467566,1.9533906163071
NA,"","Pasco","Peru","2021-01-07 05:22:03",-10.39655,-75.307635,6667,140,0,6527,"Pasco, Peru",2452.00441338728,2.09989500524974
NA,"","Piura","Peru","2021-01-07 05:22:03",-5.133361,-80.335861,42946,2235,0,40711,"Piura, Peru",2096.97265625,5.20420993806175
NA,"","Puno","Peru","2021-01-07 05:22:03",-14.995827,-69.922726,19441,410,0,19031,"Puno, Peru",1570.35541195477,2.10894501311661
NA,"","San Martin","Peru","2021-01-07 05:22:03",-7.039531,-76.729127,25866,800,0,25066,"San Martin, Peru",2875.27790128946,3.09286321812418
NA,"","Tacna","Peru","2021-01-07 05:22:03",-17.644161,-70.27756,14825,271,0,14554,"Tacna, Peru",3995.95687331536,1.82799325463744
NA,"","Tumbes","Peru","2021-01-07 05:22:03",-3.857496,-80.545255,9515,349,0,9166,"Tumbes, Peru",3783.30019880716,3.66789280084078
NA,"","Ucayali","Peru","2021-01-07 05:22:03",-9.621718,-73.444929,20563,397,0,20166,"Ucayali, Peru",3490.57884909183,1.93065214219715
NA,"","Unknown","Peru","2021-01-07 05:22:03",NA,NA,0,0,962566,-962566,"Unknown, Peru",NA,NA
NA,"","","Suriname","2021-01-07 05:22:03",3.9193,-56.0278,6666,126,6021,519,"Suriname",1136.31327198901,1.89018901890189
NA,"","","Trinidad and Tobago","2021-01-07 05:22:03",10.6918,-61.2225,7196,127,6744,325,"Trinidad and Tobago",514.186943681667,1.76486937187326
NA,"","","Uruguay","2021-01-07 05:22:03",-32.5228,-55.7658,23048,221,16540,6287,"Uruguay",663.494857252743,0.958868448455397
NA,"","","Venezuela","2021-01-07 05:22:03",6.4238,-66.5897,114908,1047,108966,4895,"Venezuela",404.094212736325,0.911163713579559
