"cv_0","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5"
4,0,-42.75,-19.4166666666667,15.7231872897112,-9.65679219699705,9.29665052874813,14.1941603280545,-2.42343665466193
4,0,-44.0833333333333,-17.4166666666667,17.4787594230534,-11.7046392506081,8.54515863444048,15.6598729191333,-2.4865703744532
3,0,-49.75,-24.9166666666667,13.7737583142712,-7.00594680277022,8.06386446542382,15.5530363100583,-3.39943893822314
1,0,-50.25,-23.4166666666667,15.7808072722171,-8.74802682851492,7.76593510452955,17.1883516846811,-3.5003332816184
2,0,-52.9166666666667,-22.25,17.4083650171248,-10.4004581943068,7.58667139604968,17.9305595666677,-3.38906320375213
3,0,-53.5833333333333,-21.4166666666667,18.450261979694,-10.2851080081798,7.67663358208869,17.489536929734,-2.86087971585332
3,0,-48.0833333333333,-23.4166666666667,14.8133964767537,-9.09851079539129,7.9094243542251,15.185183500421,-2.65664963548104
1,0,-50.9166666666667,-28.5833333333333,12.7840637962523,-4.72218814673973,7.25718001440684,14.7184127959432,-4.3613148939746
3,0,-51.5833333333333,-23.0833333333333,15.8766211686871,-9.01947987661577,7.97596800268357,16.7676080439261,-3.2445275493162
4,0,-41.25,-18.4166666666667,17.9417394992392,-10.7452929715963,7.45081107681627,16.2999763355741,-2.95674936400738
3,0,-40.25,-8.58333333333333,18.8913955704698,-13.0963187481938,5.87307176509472,17.0258512018218,-2.79225372179249
4,0,-44.75,-10.25,19.4790744894498,-13.8488284038392,7.94671143418426,18.019188373271,-3.79949317242335
1,0,-56.75,-20.0833333333333,19.298802538982,-11.153167885787,7.70018317581132,18.5162202902862,-3.36913328015577
4,0,-54.5833333333333,-30.0833333333333,14.9884499199233,-7.17240936141853,7.14976819685176,18.276317787045,-5.97718370720969
1,0,-49.75,-19.0833333333333,19.3903369381244,-11.7312175730157,8.51382010492347,16.2815999620867,-3.06813631972669
5,0,-44.5833333333333,-12.5833333333333,18.0533325702719,-12.5517821255403,7.95270310215673,16.4056517939589,-2.97572824995127
3,0,-39.0833333333333,-9.75,17.8291865637971,-12.0402619740609,5.04161876101239,17.0255219479114,-3.07522088641933
2,0,-53.9166666666667,-19.4166666666667,19.1438648035809,-10.739408972924,8.03053722374945,16.6461914766124,-3.26665765622721
